date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:14	633/633	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Feb%202026%2003:29:41%20GMT	https://importacao-correios.digital/robots.txt		(from )
00:27:14	10721/10721	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202026%2003:29:41%20GMT	https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/correios/index72b9.html	(from )
00:27:14	5779/5779	---MCZ	200	added ('OK')	text/html	etag:W/%22680255ca-1693%22	https://importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/css2.html	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/css2.html	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
00:27:14	162265/162265	---MCZ	200	added ('OK')	text/css	etag:W/%22680255ca-279d9%22	https://importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/bootstrap.css	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/bootstrap.css	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
00:27:14	2465/2465	---MCZ	200	added ('OK')	text/css	etag:W/%22680255ca-9a1%22	https://importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/app.css	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/app.css	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
00:27:15	662/662	---MCZ	200	added ('OK')	text/css	etag:W/%22680255ca-296%22	https://importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/yellow.css	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/yellow.css	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
00:27:15	156073/156073	---MCZ	200	added ('OK')	text/css	etag:W/%22680255ca-261a9%22	https://importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/all.css	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/correios/Correios%20_%20Rastreio_arquivos/all.css	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
00:27:15	35455/35455	---MC-	200	added ('OK')	image/png	etag:W/%22680255ca-8a7f%22	https://importacao-correios.digital/wp-content/uploads/2024/11/regular_correios-logo-2.png	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/wp-content/uploads/2024/11/regular_correios-logo-2.png	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
00:27:15	79840/79840	---MCZ	200	added ('OK')	text/css	etag:W/%22680255ca-137e0%22	https://importacao-correios.digital/correios/css/all.css	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/correios/css/all.css	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
00:27:15	1052/1052	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Feb%202026%2003:29:43%20GMT	https://importacao-correios.digital/cdn.jsdelivr.net/npm/%40flasher/flasher%401.3.2/dist/flasher.min.js	C:/Users/marcelo/Downloads/tela2corrreios/importacao-correios.digital/cdn.jsdelivr.net/npm/@flasher/flasher@1.3.2/dist/flasher.min.js	(from https://importacao-correios.digital/correios/?utm_network=g&utm_position=&utm_term=encomenda+taxada&utm_match=b&utm_campaign=23412701644&utm_creative=790302305407&utm_target=&gclid=CjwKCAiAs4HMBhBJEiwACrfNZQpgikAvecR1gA10tYnuQiScyEs8XyLhEkdZb9bcXigDzxNgXcEefxoCyQgQAvD_BwE&utm_placement=&gad_source=1&gad_campaignid=23412701644&gbraid=0AAAABCNYohgleddB1xGjPcJxghxRNbrXT)
